methodname,calsensitivity,calspecificity,calf1,calauc
method1,0.333333333333333,0.5,0.3125,0.436111111111111
method2,0.333333333333333,0.625,0.344827586206897,0.377777777777778
method3,0.666666666666667,0.375,0.5,0.408333333333333
method4,0.533333333333333,0.541666666666667,0.470588235294118,0.497222222222222
method5,0.6,0.458333333333333,0.486486486486487,0.536111111111111
method6,0.4,0.5,0.363636363636364,0.463888888888889
method7,0.533333333333333,0.5,0.457142857142857,0.566666666666667
method8,0.4,0.458333333333333,0.352941176470588,0.458333333333333
method9,0.466666666666667,0.416666666666667,0.388888888888889,0.427777777777778
method10,0.533333333333333,0.541666666666667,0.470588235294118,0.583333333333333
male,method10,NA,method10,NA
